2025-07-16 17:47:22 | COTI | KuCoin | 0.057800 | Binance | 0.057860 | 0.10%
2025-07-16 17:47:41 | COTI | KuCoin | 0.057800 | MEXC | 0.057910 | 0.19%
2025-07-16 17:47:43 | COTI | KuCoin | 0.057800 | Binance | 0.057910 | 0.19%
2025-07-16 17:47:43 | COTI | KuCoin | 0.057800 | MEXC | 0.057910 | 0.19%
2025-07-16 17:47:44 | COTI | KuCoin | 0.057800 | Binance | 0.057920 | 0.21%
2025-07-16 17:47:44 | COTI | KuCoin | 0.057800 | MEXC | 0.057920 | 0.21%
2025-07-16 17:47:46 | COTI | KuCoin | 0.057800 | Binance | 0.057920 | 0.21%
2025-07-16 17:47:46 | COTI | KuCoin | 0.057800 | MEXC | 0.057920 | 0.21%
2025-07-16 17:47:47 | COTI | KuCoin | 0.057800 | Binance | 0.057910 | 0.19%
2025-07-16 17:47:47 | COTI | KuCoin | 0.057800 | MEXC | 0.057920 | 0.21%
2025-07-16 17:47:49 | COTI | KuCoin | 0.057800 | Binance | 0.057910 | 0.19%
2025-07-16 17:47:49 | COTI | KuCoin | 0.057800 | MEXC | 0.057910 | 0.19%
2025-07-16 18:07:05 | COTI | KuCoin | 0.058000 | Binance | 0.058170 | 0.29%
2025-07-16 18:07:05 | COTI | KuCoin | 0.058000 | MEXC | 0.058170 | 0.29%
2025-07-16 18:07:05 | IOTA | KuCoin | 0.226000 | Binance | 0.226300 | 0.13%
2025-07-16 18:07:05 | IOTA | KuCoin | 0.226000 | MEXC | 0.226300 | 0.13%
2025-07-16 18:07:05 | CFX | MEXC | 0.103900 | KuCoin | 0.104000 | 0.10%
2025-07-16 18:07:07 | COTI | KuCoin | 0.058000 | Binance | 0.058170 | 0.29%
2025-07-16 18:07:07 | COTI | KuCoin | 0.058000 | MEXC | 0.058170 | 0.29%
2025-07-16 18:07:07 | DOGE | KuCoin | 0.204620 | Binance | 0.204980 | 0.18%
2025-07-16 18:07:07 | IOTA | KuCoin | 0.226000 | MEXC | 0.226300 | 0.13%
2025-07-16 18:07:07 | DOGE | MEXC | 0.204750 | Binance | 0.204980 | 0.11%
2025-07-16 18:07:07 | CFX | MEXC | 0.103900 | KuCoin | 0.104000 | 0.10%
2025-07-16 18:07:07 | IOTA | KuCoin | 0.226000 | Binance | 0.226200 | 0.09%
2025-07-16 18:07:07 | XLM | KuCoin | 0.473600 | MEXC | 0.473900 | 0.06%
2025-07-16 18:07:09 | COTI | KuCoin | 0.058000 | MEXC | 0.058170 | 0.29%
2025-07-16 18:07:09 | COTI | KuCoin | 0.058000 | Binance | 0.058150 | 0.26%
2025-07-16 18:07:09 | CFX | MEXC | 0.103900 | KuCoin | 0.104000 | 0.10%
2025-07-16 18:07:09 | IOTA | KuCoin | 0.226000 | Binance | 0.226200 | 0.09%
2025-07-16 18:07:09 | IOTA | KuCoin | 0.226000 | MEXC | 0.226200 | 0.09%
2025-07-16 18:07:09 | INJ | KuCoin | 13.541000 | Binance | 13.550000 | 0.07%
2025-07-16 18:07:09 | INJ | KuCoin | 13.541000 | MEXC | 13.550000 | 0.07%
2025-07-16 18:07:12 | COTI | KuCoin | 0.058000 | Binance | 0.058120 | 0.21%
2025-07-16 18:07:12 | COTI | KuCoin | 0.058000 | MEXC | 0.058120 | 0.21%
2025-07-16 18:07:12 | DOGE | KuCoin | 0.204720 | Binance | 0.205030 | 0.15%
2025-07-16 18:07:12 | DOGE | MEXC | 0.204740 | Binance | 0.205030 | 0.14%
2025-07-16 18:07:12 | IOTA | KuCoin | 0.225800 | Binance | 0.226100 | 0.13%
2025-07-16 18:07:12 | XLM | KuCoin | 0.473400 | Binance | 0.473900 | 0.11%
2025-07-16 18:07:12 | XLM | MEXC | 0.473600 | Binance | 0.473900 | 0.06%
2025-07-16 18:07:14 | COTI | KuCoin | 0.058000 | Binance | 0.058120 | 0.21%
2025-07-16 18:07:14 | COTI | KuCoin | 0.058000 | MEXC | 0.058120 | 0.21%
2025-07-16 18:07:14 | IOTA | KuCoin | 0.225900 | Binance | 0.226200 | 0.13%
2025-07-16 18:07:14 | IOTA | KuCoin | 0.225900 | MEXC | 0.226200 | 0.13%
